Hospital Name,Provider Number,State,Measure Name,Number of Discharges,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
THOMAS HOSPITAL,10100,AL,Chronic_Obstructive_Pulmonary,166,0.9502,18.4,19.3,27,01-JUL-11,30-JUN-14
THOMAS HOSPITAL,10100,AL,Heart_Faliure,343,0.9587,19.9,20.8,66,01-JUL-11,30-JUN-14
THOMAS HOSPITAL,10100,AL,Hip_Knee_Surgery,641,1.0221,4.9,4.8,32,01-JUL-11,30-JUN-14
J PAUL JONES HOSPITAL,10102,AL,Chronic_Obstructive_Pulmonary,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
GRANDVIEW MEDICAL CENTER,10104,AL,Chronic_Obstructive_Pulmonary,239,1.0373,21.5,20.7,54,01-JUL-11,30-JUN-14
PRATTVILLE BAPTIST HOSPITAL,10108,AL,Heart_Faliure,170,1.1144,22.8,20.4,45,01-JUL-11,30-JUN-14
PRATTVILLE BAPTIST HOSPITAL,10108,AL,Pneumonia,192,1.0563,17.9,16.9,38,01-JUL-11,30-JUN-14
BRYAN W. WHITFIELD MEMORIAL HOSPITAL,10112,AL,Chronic_Obstructive_Pulmonary,157,0.9435,15.8,16.8,23,01-JUL-11,30-JUN-14
MONROE COUNTY HOSPITAL,10120,AL,Chronic_Obstructive_Pulmonary,75,1.0167,17.2,16.9,14,01-JUL-11,30-JUN-14
TROY REGIONAL MEDICAL CENTER,10126,AL,Chronic_Obstructive_Pulmonary,134,1.0513,19.8,18.8,30,01-JUL-11,30-JUN-14
TROY REGIONAL MEDICAL CENTER,10126,AL,Hip_Knee_Surgery,157,1.0366,4.1,4.0,23,01-JUL-11,30-JUN-14
JACKSON MEDICAL CENTER,10128,AL,Hip_Knee_Surgery,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
JACKSON MEDICAL CENTER,10128,AL,Pneumonia,157,0.9767,12.7,13.0,23,01-JUL-11,30-JUN-14
COOSA VALLEY MEDICAL CENTER,10164,AL,Heart_Faliure,183,1.0384,21.2,20.4,41,01-JUL-11,30-JUN-14
JACK HUGHSTON MEMORIAL HOSPITAL,10168,AL,Heart_Faliure,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
ATMORE COMMUNITY HOSPITAL,10169,AL,Chronic_Obstructive_Pulmonary,136,0.9787,18.7,19.1,24,01-JUL-11,30-JUN-14
ATMORE COMMUNITY HOSPITAL,10169,AL,Hip_Knee_Surgery,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
PROVIDENCE ALASKA MEDICAL CENTER,20001,AK,Acute_Myocardial_infarction,357,0.9149,13.0,14.2,42,01-JUL-11,30-JUN-14
PROVIDENCE ALASKA MEDICAL CENTER,20001,AK,Pneumonia,307,0.8706,14.0,16.1,34,01-JUL-11,30-JUN-14
BARTLETT REGIONAL HOSPITAL,20008,AK,Chronic_Obstructive_Pulmonary,157,0.9515,15.9,16.7,23,01-JUL-11,30-JUN-14
BARTLETT REGIONAL HOSPITAL,20008,AK,Heart_Faliure,157,0.9677,18.0,18.6,23,01-JUL-11,30-JUN-14
YUKON KUSKOKWIM DELTA REG HOSPITAL,20018,AK,Heart_Faliure,157,0.9308,19.8,21.3,23,01-JUL-11,30-JUN-14
ALASKA NATIVE MEDICAL CENTER,20026,AK,Acute_Myocardial_infarction,157,1.0034,16.6,16.6,23,01-JUL-11,30-JUN-14
ALASKA NATIVE MEDICAL CENTER,20026,AK,Chronic_Obstructive_Pulmonary,112,0.9522,17.2,18.1,16,01-JUL-11,30-JUN-14
ALASKA NATIVE MEDICAL CENTER,20026,AK,Heart_Faliure,73,1.0645,21.1,19.9,19,01-JUL-11,30-JUN-14
ABRAZO MARYVALE CAMPUS,30001,AZ,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
TUCSON MEDICAL CENTER,30006,AZ,Chronic_Obstructive_Pulmonary,254,0.9949,19.0,19.1,48,01-JUL-11,30-JUN-14
ST. MARY'S HOSPITAL,30010,AZ,Hip_Knee_Surgery,157,0.9515,4.6,4.8,23,01-JUL-11,30-JUN-14
SOUTHEAST ALABAMA MEDICAL CENTER,10001,AL,Hip_Knee_Surgery,329,1.0884,5.6,5.2,20,01-JUL-11,30-JUN-14
MARSHALL MEDICAL CENTER SOUTH,10005,AL,Heart_Faliure,384,0.9785,21.2,21.6,80,01-JUL-11,30-JUN-14
ELIZA COFFEE MEMORIAL HOSPITAL,10006,AL,Pneumonia,719,1.0261,15.8,15.4,115,01-JUL-11,30-JUN-14
CRENSHAW COMMUNITY HOSPITAL,10008,AL,Chronic_Obstructive_Pulmonary,157,0.979,15.4,15.7,23,01-JUL-11,30-JUN-14
CRENSHAW COMMUNITY HOSPITAL,10008,AL,Pneumonia,157,0.9775,13.4,13.7,23,01-JUL-11,30-JUN-14
DEKALB REGIONAL MEDICAL CENTER,10012,AL,Heart_Faliure,167,1.0459,20.0,19.2,36,01-JUL-11,30-JUN-14
ORO VALLEY HOSPITAL,30114,AZ,Pneumonia,239,1.0432,15.2,14.6,39,01-JUL-11,30-JUN-14
CALLAHAN EYE HOSPITAL,10018,AL,Chronic_Obstructive_Pulmonary,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
HELEN KELLER MEMORIAL HOSPITAL,10019,AL,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
BAPTIST MEDICAL CENTER SOUTH,10023,AL,Acute_Myocardial_infarction,366,1.0567,16.4,15.6,63,01-JUL-11,30-JUN-14
BAPTIST MEDICAL CENTER SOUTH,10023,AL,Hip_Knee_Surgery,480,1.0239,4.7,4.6,23,01-JUL-11,30-JUN-14
BAPTIST MEDICAL CENTER SOUTH,10023,AL,Pneumonia,193,1.0031,18.0,18.0,35,01-JUL-11,30-JUN-14
JACKSON HOSPITAL & CLINIC INC,10024,AL,Acute_Myocardial_infarction,292,0.9409,16.1,17.2,44,01-JUL-11,30-JUN-14
UNIVERSITY OF ALABAMA HOSPITAL,10033,AL,Hip_Knee_Surgery,310,1.431,7.2,5.0,29,01-JUL-11,30-JUN-14
STRINGFELLOW MEMORIAL HOSPITAL,10038,AL,Pneumonia,205,1.0475,17.1,16.3,38,01-JUL-11,30-JUN-14
HUNTSVILLE HOSPITAL,10039,AL,Hip_Knee_Surgery,1821,1.1595,5.4,4.7,101,01-JUL-11,30-JUN-14
FAYETTE MEDICAL CENTER,10045,AL,Chronic_Obstructive_Pulmonary,192,1.0448,19.8,18.9,41,01-JUL-11,30-JUN-14
FAYETTE MEDICAL CENTER,10045,AL,Heart_Faliure,108,1.0011,21.2,21.2,23,01-JUL-11,30-JUN-14
FAYETTE MEDICAL CENTER,10045,AL,Hip_Knee_Surgery,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
RIVERVIEW REGIONAL MEDICAL CENTER,10046,AL,Heart_Faliure,381,1.136,25.3,22.3,104,01-JUL-11,30-JUN-14
MEDICAL CENTER ENTERPRISE,10049,AL,Hip_Knee_Surgery,157,0.9757,4.8,4.9,23,01-JUL-11,30-JUN-14
